"Skill_id","Level_id","Question_number","Question","Option_A","Option_B","Option_C","Option_D","Correct_answer","QuestionID"
"sk01","l2","1","What is the goal of the 'Sort' phase in 5S?","Polish all equipment","Identify and remove unnecessary items","Write daily reports","Arrange tools by color","B","sk01_l2_1"
"sk01","l2","2","Which tag is commonly used in the 'Sort' process?","Yellow tag","Blue tag","Red tag","Green tag","C","sk01_l2_2"
"sk01","l2","3","What is a key practice in the 'Sort?' stage of 5S?","Dispose or repair","Paint them","Label and store","Keep them just in case","A","sk01_l2_3"
"sk01","l2","4","In 5S methodology, what action is aligned with the principle of 'Sort?'?","Storing unnecessary items","Removing outdated tools","Tagging unused items","Reviewing workspace regularly","A","sk01_l2_4"
"sk01","l2","5","How does Sort improve the workplace?","By training workers","By creating a clutter-free space","By painting walls","By increasing items","B","sk01_l2_5"
"sk01","l2","6","What is a key practice in the 'Order'?' stage of 5S?","Print documents","Organize tools","Clean floors","Remove trash","B","sk01_l2_6"
"sk01","l2","7","Frequently used items should be:","Kept in drawers","Within easy reach","Stored far away","Labeled","B","sk01_l2_7"
"sk01","l2","8","In 5S methodology, what action is aligned with the principle of 'method?'?","Hiding tools","Putting items under the table","Storing all items in one box","Color coding","D","sk01_l2_8"
"sk01","l2","9","What is a key practice in the 'placed:' stage of 5S?","Randomly","On top shelves","Near the door","At lower levels","D","sk01_l2_9"
"sk01","l2","10","What is NOT part of Set in Order?","Tool labeling","Logical arrangement","Visual markers","Random storage","D","sk01_l2_10"
"sk01","l2","11","What does 'Shine' in 5S focus on?","Buying new tools","Replacing furniture","Regular cleaning","Color coding","C","sk01_l2_11"
"sk01","l2","12","What is a key practice in the 'identifying:' stage of 5S?","Paint issues","Leaks or damage","New items","Useful items","B","sk01_l2_12"
"sk01","l2","13","Which of the following is a Shine activity?","Daily cleaning","Product packaging","Production scheduling","Tool labeling","A","sk01_l2_13"
"sk01","l2","14","Why is Shine important?","Improves tool color","Maintains safety and efficiency","Saves electricity","Reduces cleaning staff","B","sk01_l2_14"
"sk01","l2","15","What is a key practice in the 'performed?' stage of 5S?","Never","Occasionally","Every 6 months","After each use","D","sk01_l2_15"
"sk01","l2","16","In 5S methodology, what action is aligned with the principle of ''Standardize'?'?","Write SOPs","Create uniform practices","Buy new equipment","Paint tools","B","sk01_l2_16"
