SkillCode,SkillName
sk01,5S
sk02,Safety
sk03,Basics of Electronics
sk04,Basics of Quality
sk05,SMT Electronics Assembly
sk06,Manual Electronics Assembly
sk07,Mechanical Assembly
sk08,Testing - Electrical/ Electronic Parts
sk09,Testing - PCBA
sk10,Dimensional inspection (gauges)
sk11,Dimensional inspection (instruments)
sk12,Laser Printing
sk13,Wire Cutting-Stripping
sk14,Wire Crimping
sk15,Packing
sk16,Leadership & Team Management
sk17,Communication & Interpersonal Skill
sk18,Problem Solving & Critical Thinking
sk19,Planning & Time Management
sk20,IATF 16949/ISO 9001:2015 QMS Awareness
sk21,Material Planning & Inventory Control
sk22,Supply Chain Management
sk23,Data Analytics and Reporting
sk24,MS Excel
sk25,SPC
sk26,MSA
sk27,4M Change
sk28,FMEA
sk29,Abnormality Handling
sk30,PPAP & APQP
sk31,Kaizen
sk32,Poka Yoke
sk33,7 QC Tools
sk34,Compliance & Ethical Responsibility
sk35,Internal Auditor Certification*
sk36,FIFO
